Distance,Upper bound,Lower bound,Y position,Should jump
866.8424682617188,182.13584899902344,-617.8172607421875,529.6009883880615,0
865.8422241210938,189.4625701904297,-610.490478515625,522.2749996185303,1
864.8419799804688,196.7981719970703,-603.1548461914062,514.939001083374,0
863.8417358398438,204.1393585205078,-595.8135986328125,507.5979976654053,0
862.8414916992188,211.4839324951172,-588.4688720703125,500.2540035247803,1
1501.84130859375,400.0374450683594,-399.91534423828125,311.699987411499,0
1501.84130859375,401.78125,-398.1715087890625,309.95599937438965,0
1501.84130859375,405.66314697265625,-394.28961181640625,306.074010848999,1
1501.84130859375,410.86767578125,-389.0850830078125,300.8700008392334,0
1501.84130859375,416.8904724121094,-383.06231689453125,294.84699058532715,0
1501.84130859375,423.41943359375,-376.5333251953125,288.3179988861084,0
1501.84130859375,430.26153564453125,-369.69122314453125,281.4759883880615,0
1501.84130859375,437.29736328125,-362.6553955078125,274.4399929046631,0
1501.84130859375,444.45294189453125,-355.49981689453125,267.28400230407715,1
1501.84130859375,451.6827087402344,-348.27008056640625,260.05499839782715,0
1501.84130859375,458.9583435058594,-340.99444580078125,252.77899742126465,0
1501.84130859375,466.2623596191406,-333.6904296875,245.47499656677246,1
1501.84130859375,414.03326416015625,-385.91949462890625,297.7039852142334,0
1501.84130859375,384.5261535644531,-415.4266357421875,327.21100425720215,0
1501.84130859375,369.0754699707031,-430.8773193359375,342.6619930267334,0
1501.84130859375,362.3204040527344,-437.63238525390625,349.4169979095459,1
1501.84130859375,360.94464111328125,-439.00811767578125,350.793004989624,0
1501.84130859375,362.89666748046875,-437.05609130859375,348.84100914001465,1
1501.84130859375,366.9073791503906,-433.04541015625,344.8299922943115,1
1501.84130859375,374.14593505859375,-425.80682373046875,337.59100914001465,1
1501.84130859375,382.5958251953125,-417.35693359375,329.1420040130615,0
1501.84130859375,389.371826171875,-410.5809326171875,322.366003036499,1
1501.84130859375,396.36676025390625,-403.58599853515625,315.3710079193115,0
1501.84130859375,403.49713134765625,-396.45562744140625,308.2399959564209,1
